date,department_name,department_ID,department_hierarchy_id,department_type,department_url,category_name,category_ID,category_hierarchy_ID,category_type,category_url,category_legislative_ID,category_legislative_name,aisle_name,aise_ID,aisle_hierarchy_ID,aisle_type,aisle_url,aisle_child,shelve_name,shelve_ID,shleve_hierarchy_ID,shelve_type,shelve_url,aisle_ID,shelve_hierarchy_ID
2024-06-14,Chilled Food,15,1215660378320,,,Ready Meals,1516,1215660378320-910000975205,dept,,,,Lunch Ideas,151622.0,1215660378320-910000975205-1215686353377,aisle,,[],,15162299,,,,,
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,Meal Deals,151710.0,1215660378320-1215661254820-1215685941426,aisle,,[],,15171099,,,,,
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,Fresh Pizza,,1215660378320-1215661254820-910000975409,aisle,,,Pizza Counter,15171110,,shelf,,151711.0,1215660378320-1215661254820-910000975409-910000976843
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,Fresh Pizza,,1215660378320-1215661254820-910000975409,aisle,,,Boxed Pizza,15171111,,shelf,,151711.0,1215660378320-1215661254820-910000975409-910000976526
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,Fresh Pizza,,1215660378320-1215661254820-910000975409,aisle,,,Flatbreads,15171112,,shelf,,151711.0,1215660378320-1215661254820-910000975409-1215678254418
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,Fresh Pizza,,1215660378320-1215661254820-910000975409,aisle,,,Snacking & Sides,15171113,,shelf,,151711.0,1215660378320-1215661254820-910000975409-1215682415594
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,Fresh Pizza,,1215660378320-1215661254820-910000975409,aisle,,,Oven Trays,15171114,,shelf,,151711.0,1215660378320-1215661254820-910000975409-1215334522607
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,"Pasta, Sauce & Garlic Bread",,1215660378320-1215661254820-910000975441,aisle,,,Oven Trays,15171210,,shelf,,151712.0,1215660378320-1215661254820-910000975441-1215334522607
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,"Pasta, Sauce & Garlic Bread",,1215660378320-1215661254820-910000975441,aisle,,,Fresh Pasta,15171211,,shelf,,151712.0,1215660378320-1215661254820-910000975441-910000975909
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,"Pasta, Sauce & Garlic Bread",,1215660378320-1215661254820-910000975441,aisle,,,Fresh Filled Pasta,15171212,,shelf,,151712.0,1215660378320-1215661254820-910000975441-1215661776397
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,"Pasta, Sauce & Garlic Bread",,1215660378320-1215661254820-910000975441,aisle,,,Fresh Pasta Sauce,15171213,,shelf,,151712.0,1215660378320-1215661254820-910000975441-910000976440
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,"Pasta, Sauce & Garlic Bread",,1215660378320-1215661254820-910000975441,aisle,,,Baguettes & Slices,15171214,,shelf,,151712.0,1215660378320-1215661254820-910000975441-1215351865544
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,"Pasta, Sauce & Garlic Bread",,1215660378320-1215661254820-910000975441,aisle,,,Flatbreads & Ciabatta,15171215,,shelf,,151712.0,1215660378320-1215661254820-910000975441-1215351872103
2024-06-14,Chilled Food,15,1215660378320,,,"Pizza, Pasta & Garlic Bread",1517,1215660378320-1215661254820,dept,,11,Pizza,"Pasta, Sauce & Garlic Bread",,1215660378320-1215661254820-910000975441,aisle,,,Tear n Share & Doughballs,15171216,,shelf,,151712.0,1215660378320-1215661254820-910000975441-1215351872231
